PAE,kmain(),after recv(),after send()
33476,34550,82646,178846
33320,34360,82100,179354
34146,35170,82970,179772
33748,34788,82728,179110
23584,24358,58950,129254
23616,24356,58740,132968
23704,24466,58994,132916
24352,25112,60128,133878
23860,24626,59016,134892
23904,24640,58878,133182
23838,24618,58912,134086
24450,25174,59026,134214
23646,24408,58828,133560
23830,24540,58586,133060
17938,18520,45414,99766
18328,18900,45442,103182
18060,18642,45134,98858
18066,18654,45126,102906
17858,18440,44692,103306
17736,18304,44896,104088
17852,18444,45058,103392
17964,18534,44818,102708
17802,18384,44744,104220
18072,18638,45392,103558
18144,18734,46110,103652
18644,19226,45760,100568
17756,18334,44540,100348
15106,15600,37960,85224
14812,15326,37664,87308
15156,15648,38116,87272
14986,15502,37824,86240
15018,15494,37988,87282
14936,15448,37710,86052
14942,15426,37952,86458
14858,15340,37656,86434
56802,58250,132700,269378
48624,49990,120440,255502
48382,49820,118742,252864
47812,49230,116462,252316
47528,49028,116038,246532
46998,48420,115240,254760
47502,48920,116112,258868
46660,48056,115470,258206
33894,34970,84078,186714
33146,34186,81848,183170
33526,34602,82228,184370
33394,34442,82030,186282
33472,34538,83058,185702
33860,34892,82814,178044
33268,34312,82044,184348
33238,34304,81754,175600
33974,35034,83088,298026
23654,24398,58320,129948
23848,24622,59260,130538
24082,24840,59372,130226
24096,24866,58908,133250
23840,24608,58588,133040
23644,24418,58310,134166
23562,24326,58230,134852
23788,24550,58668,135274
23938,24698,58808,133160
23860,24620,59574,136238
17212,17786,43126,97332
17492,18070,43778,99358
17438,18014,43930,98974
17588,18152,43562,101810
17370,17954,42878,98110
17352,17930,43008,101574
17516,18098,43476,96836
18038,18612,44662,99720
17278,17836,43964,102190
17718,18308,43816,100572
17260,17816,43576,101584
17422,17992,43426,101018
34914,35490,60824,116866
15194,15724,38288,90576
15254,15756,38126,90994
19670,20182,44544,96814
15798,16272,39172,90086
15724,16234,38436,107332
15650,16110,38722,89028
15674,16182,38810,89402
15412,15912,37520,89326
15138,15636,37522,88094
55856,57268,132382,303012
49032,50432,121480,259412
48018,49482,118122,249050
48270,49686,117252,253332
47156,48586,116116,252052
46900,48308,114748,251940
47328,48746,114994,251134
46626,48064,115058,249500
33868,34918,83138,187776
34394,35426,83050,186430
33528,34558,82308,185420
33830,34888,82698,186480
33674,34692,82514,188192
33462,34524,82824,185510
34088,35140,84016,181300
33972,35034,83200,186124
24186,24946,59952,136402
24010,24756,58840,135942
23922,24688,59402,134802
23714,24462,58850,134420
24298,25042,59268,135002
23610,24376,58346,132096
23664,24422,58010,126822
24152,24928,58982,135410
23828,24640,58606,134948
23980,24724,58830,133764
23884,24614,58278,132664
17456,18008,43846,97168
17648,18196,43744,99548
17522,18082,43496,100778
17496,18072,43444,103574
53778,55182,131630,274196
48248,49678,121682,258042
47102,48550,118928,251502
47632,49018,116662,259634
47104,48500,114990,256594
47060,48560,115528,256322
56178,57642,133142,275930
50466,51870,123680,258552
47856,49296,117884,250436
47610,48972,147866,280718
47432,48888,117348,249544
47042,48428,115466,249574
47442,48940,117876,250280
48538,49934,116558,250784
48030,49512,116670,250136
47198,48586,115830,249826
34124,35178,83044,181314
34008,35012,83400,181740
34012,35112,83152,179794
33874,34896,82278,177442
33852,34966,83010,182486
33814,34840,84258,180084
33890,34944,82854,185532
34064,35126,84150,186946
66330,67118,102192,178286
23772,24502,59084,135574
23906,24668,59492,135854
24552,25312,60052,135932
24200,24974,59294,130704
23962,24788,59160,134710
23942,24710,59400,134694
23926,24726,59890,136648
24806,25572,60222,135148
23968,24742,59288,133896
24054,24856,59034,133128
17248,17794,43568,103196
17568,18166,43424,100362
54590,55990,130948,271336
54110,55484,162538,303694
50106,51536,121334,257408
48152,49566,118180,251090
47900,49384,117096,252296
47686,49116,115632,248848
47948,49400,116234,257144
