PAE,kmain(),after recv(),after send()
87300,88892,183720,420074
73322,74592,164230,377118
94996,96728,203160,457900
54062,55042,121398,301658
73346,74688,157818,374890
98296,99992,205116,475280
96868,98652,203212,451208
89028,90752,198936,477004
74682,75938,160556,376518
92160,93828,200400,456332
53260,54258,123158,390358
95924,97784,205740,456776
74690,76032,158898,373532
94480,96244,202732,462252
148604,150368,256520,523028
96144,97912,206680,456356
98552,100324,204876,459040
57724,58688,127194,295956
96424,98144,207248,458656
96856,98584,203548,472300
95412,97140,204104,458736
150916,152648,248732,516224
58878,59958,128914,300400
87968,89556,189092,468068
93972,95668,200948,447272
32366,32916,70448,177908
43674,44552,102582,257664
57896,58862,125198,294296
44986,45804,101624,253256
95556,97188,203796,570124
98256,99976,207964,459948
73922,75324,162988,379218
81872,83482,186286,444768
96920,98668,206048,456932
47810,48654,104202,243466
31198,31752,69326,190018
88756,90376,187722,473574
85918,87504,183940,423884
151496,153196,259440,527324
30792,31306,66664,164886
96020,97740,204736,460568
93868,95600,200872,489788
90768,92480,204232,480604
97448,99176,205716,477404
93548,95224,200772,455604
165652,167376,273524,542520
96812,98556,203796,458384
74152,75446,159002,370116
89796,91548,202388,478828
96464,98172,204052,457856
87888,89528,197544,475528
97160,98824,203816,471576
96132,97872,206936,479304
89856,91592,202328,484356
97040,98868,204488,471668
87026,88600,186076,425320
87944,89496,185844,474980
95424,97216,203672,456896
56372,57378,122890,285448
87326,89074,190040,422040
87382,88980,187232,427042
57904,58902,129138,295604
67200,68534,154490,385350
86952,88616,186830,428888
86270,87816,187026,430918
77924,79498,177146,429476
58686,59740,127918,295608
31582,32128,69646,173234
53820,54818,119768,295662
32108,32646,68862,174510
82506,84078,183282,418642
32164,32688,69174,170320
87708,89432,197048,473852
43754,44562,98922,252354
40572,41310,89200,211740
96612,98352,270792,545320
96864,98664,206232,462676
95336,97044,205664,464972
48068,48884,106894,251224
57690,58770,125898,296236
86026,87564,186574,528228
87616,89328,198104,469020
31922,32468,69728,177676
43762,44556,98580,252126
95284,97020,204876,456340
85150,86688,185088,426888
87966,89540,186324,420378
32120,32652,69822,168760
86466,87992,187292,475208
96148,97876,203024,458032
97844,99604,261712,536348
95940,97696,207364,458972
94724,96464,206380,466584
72984,74220,158548,368186
46474,47282,100956,246948
58168,59156,126014,291734
37220,37908,85990,218614
75060,76604,170040,383590
85714,87260,186694,420938
58036,59100,127760,295778
48638,49480,105152,244352
96144,97864,205916,458508
95804,97512,202048,632572
53438,54440,123636,309160
37130,37818,86440,218040
38414,39136,87208,221564
73332,74662,159940,374836
96672,98408,207332,475920
85760,87340,185458,471388
73480,74742,163480,375040
36544,37246,84824,217808
47452,48326,104466,244536
94212,95976,202648,456444
57408,58462,125746,297134
40292,40974,87710,212066
89814,91388,186328,426036
146400,148144,245948,518212
94832,96552,202348,454668
87512,89072,187758,425528
95364,97100,204724,467188
96132,97832,202284,457520
44762,45616,100276,254362
85940,87612,194888,470624
96584,98344,208044,467384
89004,90736,197560,469096
95524,97308,202400,458988
58118,59134,124180,292798
87562,89158,191392,434824
86474,88088,183034,469632
96800,98552,207380,461288
87440,89004,185146,420924
146496,148336,256564,531640
100904,102744,209540,478340
97604,99376,209740,484484
60050,61046,128834,296684
74430,75736,163766,376624
67674,68950,206346,437132
95860,97644,205916,464104
98844,100628,207224,456584
97000,98748,205236,472664
73882,75230,162408,376624
74158,75454,165118,385040
96768,98440,205092,462520
147352,148866,248672,499076
94332,96024,201400,452056
57680,58678,125354,290648
72096,73490,157190,368430
97512,99280,209812,469192
97324,99000,205844,471008
95680,97452,205296,475636
95876,97596,205556,467096
94772,96484,202876,458624
94512,96164,201540,453976
95860,97540,203380,476924
89696,91496,197432,473752
94680,96408,200896,448440
84638,86230,182274,459242
151008,152764,260420,540304
73680,74928,159648,368008
75522,76818,163424,381762
98968,100664,206144,474704
97880,99620,209932,480300
37538,38212,84506,218636
94156,95892,202232,454452
30668,31208,67474,165754
82424,83970,176972,376952
52016,53040,120904,299790
58476,59574,127116,294608
94784,96512,202696,455156
94376,96068,205452,455704
95500,97184,202680,450400
97640,99344,207672,477012
88884,90412,188816,438318
73668,74908,160150,370576
95312,97052,203172,507416
95420,97144,205808,459056
53106,54122,121000,303900
36476,37176,85512,216472
97092,98892,206916,515960
83728,85274,183004,418168
163416,165196,265540,534196
38286,38988,86926,216606
57970,58994,128554,302418
43418,44226,100128,252850
72064,73494,155800,370048
73180,74510,159382,370858
96872,98604,204708,513184
90696,92456,198348,472284
73044,74354,159324,372242
47248,48078,103532,241276
89080,90808,199100,469012
75214,76608,163462,373286
43720,44530,100920,253638
93244,94984,201128,585356
88948,90740,196488,465140
86520,88024,185822,422968
93980,95740,206548,463180
31138,31672,69182,168910
41664,42364,91350,219538
85820,87386,186388,426076
85548,87074,184208,421072
88626,90160,188832,427012
71660,72930,157370,371000
79660,81184,181656,436324
86258,87750,185520,422508
89116,90928,201608,476324
96188,97884,202576,470700
96652,98336,206464,458976
140400,142208,249192,521012
97044,98724,206840,462896
95516,97320,267300,536172
73506,74784,162720,375240
96100,97740,204780,455180
86846,88394,183928,425060
43794,44632,99554,252114
72720,74006,160468,374490
96524,98228,204200,519104
95732,97520,202240,454208
95764,97432,204752,476440
95652,97428,205212,468332
47316,48142,103382,243468
96120,97864,270488,541392
82360,83912,175716,358112
58734,59772,128926,297026
95624,97332,207316,461560
97028,98708,302304,571172
164136,165988,275652,546196
96068,97776,245156,573272
95140,96844,201424,454648
37518,38206,86536,219384
31328,31864,68216,171094
87620,89122,185486,420350
94572,96288,201656,457176
95028,96728,203508,458068
94248,95916,252524,520756
95448,97156,202996,457432
97840,99556,207100,462868
95956,97632,201384,475596
57326,58358,123824,286532
67708,69060,153916,375930
94956,96692,203080,458864
95368,97052,204220,474156
94916,96600,205684,459280
53350,54408,120598,301964
66684,67970,156418,386936
95072,96820,202868,457240
67882,69206,155590,385598
76238,77508,162900,375356
95640,97392,207728,520936
43596,44470,99132,251944
68848,70192,155572,366746
54372,55218,109502,251294
25880,26418,59802,132078
29912,30460,67792,175568
44546,45398,101720,254868
86568,88092,185592,422604
87044,88594,187950,427750
87084,88680,186804,423680
85764,87276,184262,420720
43184,44004,99328,248516
87178,88724,187260,426900
57400,58402,126584,296382
140854,142378,241330,488318
48534,49324,104996,243600
52574,53538,121638,303770
31180,31706,68418,171864
42750,43668,97510,251830
93448,95168,203092,455428
94984,96688,203632,456472
95716,97436,202608,474804
96216,97900,202624,469008
95404,97092,204732,460232
74800,76150,160650,375316
96084,97752,241412,515200
97640,99456,371452,640700
94584,96320,200640,453948
97448,99252,204552,454332
73428,74750,158414,369338
31870,32414,68896,172846
32662,33216,70312,173720
58342,59362,129692,294548
86450,88030,185230,424078
79026,80378,169050,376734
32460,33026,70840,172930
95720,97496,203408,454604
47214,48064,103458,244278
87540,89150,183310,471180
86172,87648,184944,417496
73618,74982,158066,367778
32076,32608,69310,175168
85946,87596,187118,425760
85714,87274,184434,418114
57332,58332,126770,293730
85668,87202,187404,423688
95080,96888,200804,467372
32808,33362,70002,169862
85604,87112,232256,481856
73818,75144,160698,371408
37340,38098,84926,216924
47184,47988,102656,249228
86624,88148,187478,425896
96964,98752,202376,452984
95128,96856,204768,454828
29842,30388,67488,173844
31926,32466,69502,168898
43504,44308,98834,248704
32884,33412,70024,173554
67370,68680,156244,385284
46798,47650,102408,242788
48082,48916,105900,249092
85586,87234,188414,430812
96856,98552,207652,469316
39092,39816,88122,221878
43640,44440,99296,252000
53180,54294,122938,301904
40830,41500,91564,224056
88110,89712,189174,482684
48660,49476,105286,249594
52760,53586,113064,265312
87314,88848,187508,463540
96876,98668,207100,466372
43538,44394,98578,250890
83820,85356,178390,368172
86374,88030,186266,419928
94776,96504,250464,529484
43044,43848,100830,284244
42858,43670,99118,252218
