PAE,kmain(),after recv(),after send()
400148,400764,615800,909252
394188,394812,610832,910632
539800,540412,791048,1232328
407020,407644,625332,969900
677756,678580,1030620,1465968
1504476,1505072,1950612,2587660
371788,372404,590292,882116
364560,365160,578704,910776
523528,524136,741080,1042288
371548,372164,589272,890032
465260,465860,679600,960284
366116,366768,585872,918948
366124,366724,581588,884120
357184,357800,574164,880596
371412,372016,604048,921280
369692,370276,579288,867608
362120,362744,579268,885644
407800,408380,629288,933984
423576,424212,661076,948580
415016,415624,624016,915676
384812,385448,602316,924176
367924,368568,578696,873572
387484,388108,615364,938636
358768,359380,575056,867520
394740,395348,617500,928712
404800,405420,619956,899200
391640,392284,611716,926552
381760,382372,598724,875056
497984,498604,712908,1032468
459372,460004,683444,989488
377672,378284,596956,924172
373840,374484,631404,1106440
403636,404268,685452,1000344
369720,370336,584196,858636
366484,367116,573700,869788
396808,397432,633412,941092
444092,444724,664184,956716
408664,409268,635136,939212
364544,365172,609628,919140
