PAE,kmain(),after recv(),after send()
19532,19760,42408,86640
23864,24168,51034,99940
41458,41952,85120,171076
42636,43130,82878,160436
39444,39938,79458,160664
39102,39558,79496,162678
38646,39140,77520,160778
38380,38874,78280,162716
38532,39026,78926,158498
38342,38836,78584,158688
38532,38988,78052,156674
38456,38912,78052,155952
39292,39786,79154,164578
39558,40052,79496,159220
31540,31920,62890,125666
39976,40432,79952,159182
38836,39330,78052,159068
38570,39026,78090,158992
38342,38798,77938,155990
38874,39368,78280,158042
38266,38722,77938,158498
38684,39178,78698,159790
38988,39482,79268,157624
39520,40014,79496,157700
39482,39976,79496,158726
39748,40242,79420,157776
44270,44764,95266,213218
38988,39482,81282,160930
19456,19684,42560,86450
41040,41572,84740,164768
40926,41458,84588,164806
40584,41078,87894,177916
41268,41800,84360,164692
38342,38836,78584,152152
39140,39634,81814,158080
41230,41724,84854,163742
38950,39444,80826,157130
41344,41876,85158,163932
40850,41382,87856,177118
38266,38760,79040,151924
39368,39862,83600,163438
37772,38266,78052,151772
38152,38646,78470,151240
41268,41800,84322,162830
41534,42066,85348,164844
53998,54644,106704,211166
41572,42028,81928,163286
48868,49438,97090,196612
48678,49286,96368,193762
39292,39786,79458,157624
39064,39596,79344,156636
49514,50084,97204,195776
