# trial, First Instruction, Load 32-bit GDT, Protected Mode Enable, Protected Transition, Paging identity mapping, Load 64-bit GDT, Jump to 64-bit
305, 78, 336, 4114, 372, 38028, 1432, 1518
306, 76, 336, 4108, 378, 38016, 1432, 1514
307, 76, 340, 4122, 378, 38022, 1436, 1514
308, 76, 338, 4128, 378, 38060, 1432, 1518
309, 78, 336, 4100, 374, 38010, 1434, 1506
310, 76, 336, 4122, 376, 38028, 1428, 1520
311, 78, 336, 4118, 374, 38002, 1438, 1516
312, 76, 340, 4090, 378, 38004, 1432, 1518
313, 76, 336, 4116, 378, 37984, 1438, 1528
314, 76, 334, 4122, 374, 38008, 1428, 1512
315, 76, 336, 4100, 378, 38016, 1428, 1516
316, 76, 336, 4122, 382, 38002, 1428, 1514
317, 74, 336, 4132, 378, 38004, 1440, 1524
318, 76, 336, 4104, 378, 37978, 1442, 1518
319, 76, 338, 4118, 374, 38022, 1442, 1516
320, 76, 338, 4104, 374, 37998, 1428, 1518
321, 76, 336, 4108, 372, 37966, 1436, 1514
322, 78, 336, 4118, 378, 38050, 1432, 1510
323, 76, 340, 4122, 378, 37912, 1438, 1516
324, 76, 336, 4100, 378, 37998, 1436, 1518
325, 78, 332, 4122, 378, 38004, 1430, 1510
326, 76, 336, 4108, 374, 38002, 1438, 1520
327, 76, 338, 4100, 382, 37980, 1446, 1518
328, 76, 336, 4116, 378, 37936, 1428, 1510
329, 76, 340, 4122, 382, 38004, 1436, 1508
330, 76, 336, 4104, 378, 38050, 1436, 1522
331, 76, 336, 4112, 374, 37988, 1432, 1522
332, 76, 332, 4126, 374, 37952, 1432, 1506
333, 76, 336, 4102, 374, 37936, 1430, 1522
334, 76, 336, 4126, 374, 37994, 1428, 1508
335, 76, 336, 4118, 378, 38072, 1428, 1514
336, 76, 340, 4108, 386, 37986, 1430, 1510
337, 76, 332, 4126, 374, 38040, 1432, 1510
338, 76, 336, 4122, 374, 37936, 1428, 1516
339, 78, 336, 4100, 374, 37922, 1440, 1518
340, 78, 336, 4128, 382, 38002, 1430, 1512
341, 76, 340, 4108, 374, 37968, 1438, 1516
342, 76, 338, 4096, 378, 37996, 1438, 1512
343, 76, 332, 4126, 378, 37938, 1432, 1516
344, 76, 336, 4132, 372, 38014, 1436, 1514
345, 78, 336, 4094, 374, 38032, 1430, 1510
346, 76, 336, 4122, 382, 38014, 1446, 1522
347, 76, 336, 4108, 378, 38026, 1432, 1514
348, 76, 336, 4094, 374, 38008, 1432, 1516
349, 76, 336, 4122, 374, 37940, 1432, 1514
350, 76, 336, 4118, 382, 38008, 1438, 1512
351, 76, 336, 4106, 380, 37974, 1436, 1518
352, 76, 336, 4132, 376, 38008, 1438, 1512
353, 76, 336, 4122, 374, 37978, 1432, 1522
354, 78, 336, 4094, 378, 38012, 1432, 1510
355, 74, 336, 4108, 380, 37992, 1432, 1514
356, 76, 340, 4122, 380, 38012, 1430, 1510
357, 76, 340, 4104, 382, 37998, 1442, 1516
358, 76, 336, 4116, 374, 38018, 1436, 1508
359, 76, 336, 4112, 374, 37974, 1428, 1520
360, 76, 332, 4104, 376, 38018, 1436, 1508
361, 76, 340, 4122, 380, 37998, 1428, 1516
362, 76, 338, 4134, 378, 37988, 1440, 1528
363, 76, 336, 4092, 378, 37962, 1430, 1510
364, 74, 336, 4114, 382, 37990, 1432, 1512
365, 78, 338, 4130, 382, 37994, 1442, 1522
366, 76, 336, 4098, 374, 38008, 1440, 1504
367, 76, 336, 4094, 382, 38036, 1436, 1508
368, 76, 336, 4122, 374, 37950, 1432, 1510
369, 78, 336, 4094, 378, 37988, 1430, 1516
370, 76, 336, 4118, 382, 37998, 1438, 1520
371, 76, 336, 4132, 382, 37994, 1436, 1522
372, 76, 336, 4098, 372, 38004, 1428, 1516
373, 76, 336, 4122, 374, 38078, 1428, 1516
374, 76, 340, 4122, 374, 37998, 1432, 1522
375, 76, 336, 4102, 376, 38000, 1430, 1520
376, 80, 334, 4108, 378, 37998, 1434, 1512
377, 76, 336, 4160, 378, 38054, 1438, 1512
378, 80, 334, 4138, 372, 38092, 1428, 1514
379, 76, 336, 4108, 378, 38050, 1428, 1516
380, 76, 340, 4096, 382, 38002, 1432, 1514
381, 76, 338, 4100, 378, 38002, 1438, 1518
382, 78, 332, 4112, 378, 38004, 1436, 1514
383, 78, 336, 4090, 378, 37932, 1442, 1512
384, 76, 336, 4198, 374, 38178, 1440, 1524
385, 80, 330, 4122, 378, 38036, 1438, 1518
386, 76, 336, 4094, 378, 38054, 1434, 1508
387, 76, 340, 4094, 382, 38084, 1430, 1510
388, 76, 336, 4112, 380, 37996, 1438, 1518
389, 76, 336, 4086, 378, 38024, 1434, 1512
390, 78, 336, 4100, 378, 38016, 1438, 1512
391, 76, 334, 4108, 374, 37966, 1436, 1518
392, 76, 332, 4118, 378, 38030, 1438, 1512
393, 76, 336, 4106, 378, 38004, 1438, 1526
394, 76, 334, 4094, 378, 38094, 1436, 1510
395, 76, 336, 4090, 378, 37960, 1428, 1512
396, 76, 336, 4106, 378, 38064, 1428, 1508
397, 76, 340, 4098, 378, 37918, 1436, 1514
398, 78, 336, 4108, 378, 38070, 1446, 1518
399, 76, 336, 4100, 376, 68124, 972, 1020
400, 48, 222, 2674, 246, 24814, 966, 1022
401, 50, 220, 2674, 244, 24868, 972, 1020
402, 50, 218, 2668, 244, 24862, 964, 1022
403, 50, 220, 2674, 244, 24752, 968, 1034
404, 50, 218, 2670, 250, 24756, 968, 1024
405, 48, 222, 2672, 244, 24820, 972, 1022
406, 50, 220, 2672, 246, 24866, 972, 1020
407, 50, 220, 2676, 250, 24802, 966, 1024
408, 52, 218, 2676, 244, 24838, 964, 1024
409, 48, 222, 2682, 248, 24852, 968, 1024
410, 48, 222, 2668, 246, 24810, 974, 1030
411, 48, 222, 2672, 250, 24820, 966, 1018
412, 50, 220, 2668, 244, 24842, 972, 1026
413, 52, 218, 2674, 246, 24892, 978, 1024
414, 50, 218, 2680, 246, 24880, 968, 1030
415, 50, 220, 2670, 244, 24826, 974, 1018
416, 48, 220, 2688, 248, 24820, 968, 1016
417, 48, 216, 2684, 246, 24854, 968, 1024
418, 50, 220, 2668, 250, 24868, 968, 1016
419, 48, 222, 2686, 244, 24816, 968, 1024
420, 50, 220, 2678, 250, 24828, 964, 1022
421, 50, 218, 2678, 250, 24812, 966, 1030
422, 52, 218, 2686, 250, 24812, 964, 1022
423, 50, 218, 2686, 244, 24736, 968, 1018
424, 52, 216, 2720, 246, 24888, 964, 1024
425, 48, 222, 2686, 246, 24808, 962, 1032
426, 48, 222, 2688, 244, 24784, 964, 1022
