Platform, cli, lgdt, prot, in 32, id map, long, in 64
Hyper-V,  148, 702,4518, 250,15636, 902, 846
Hyper-V,  148, 660,4524, 246,15634, 906, 848
Hyper-V,  134, 654,4474, 236,15624, 922, 850
Hyper-V,  148, 648,4556, 254,15628,1326, 854
Hyper-V,  134, 652,4462, 236,15596, 900, 856
Hyper-V,  148, 662,4514, 252,15590, 952, 852
Hyper-V,  134, 612,4480, 238,15586,1330, 850
Hyper-V,  148, 714,4492, 246,15620,1338, 846
Hyper-V,  134, 624,4488, 236,15574, 898, 852
Hyper-V,  148, 648,4510, 250,15584,1348, 854
Hyper-V,  148, 650,4508, 248,15642, 920, 856
Hyper-V,  148, 652,4516, 248,15612,1332, 850
Hyper-V,  134, 644,4472, 236,15594, 920, 852
Hyper-V,  134, 698,4466, 232,15582, 900, 852
Hyper-V,  148, 604,4490, 248,15632,1334, 846
Hyper-V,  148, 668,4514, 250,15594, 918, 850
Hyper-V,  148, 612,4502, 250,15600, 922, 850
Hyper-V,  150, 686,4510, 250,15582,1384, 848
Hyper-V,  148, 774,4514, 256,15600,1338, 858
Hyper-V,  148, 636,4566, 246,15566, 916, 844
Hyper-V,  134, 656,4470, 238,15588, 832, 850
Hyper-V,  134, 644,4472, 238,15580, 898, 846
Hyper-V,  148, 712,4510, 254,15584,1344, 852
Hyper-V,   54, 654,6638, 234,15464, 842, 858
Hyper-V,  134, 654,4476, 238,15564,1030, 850
Hyper-V,  148, 684,4492, 250,15614, 900, 848
Hyper-V,  148, 658,4474, 246,15590, 894, 856
Hyper-V,  148, 650,4490, 248,15578, 836, 846
Hyper-V,  148, 710,4682, 250,15968,1112, 852
Hyper-V,  148, 626,4492, 248,16400, 894, 852
Hyper-V,  148, 702,4476, 254,15956, 842, 852
Hyper-V,  148, 658,4494, 254,15658, 906, 856
Hyper-V,  134, 666,4490, 234,15688, 898, 856
Hyper-V,  148, 656,4494, 248,15678, 948, 850
Hyper-V,  148, 698,4480, 246,15604, 894, 856
Hyper-V,  134, 632,4458, 236,15944,1316, 852
Hyper-V,  148, 716,4488, 254,15624, 902, 852
Hyper-V,  148, 638,4488, 250,15588, 898, 856
Hyper-V,  134, 620,4458, 232,15578, 904, 854
Hyper-V,  148, 614,4496, 254,15624,1352, 856
Hyper-V,  148, 678,4496, 246,15718,1346, 852
Hyper-V,  134, 684,4456, 230,15620, 920, 856
Hyper-V,  148, 630,4518, 248,15598,1068, 852
Hyper-V,  148, 674,4520, 254,15688,1142, 860
Hyper-V,  148, 600,4484, 246,15580, 902, 852
Hyper-V,  134, 664,4502, 240,15658, 906, 850
Hyper-V,  134, 650,4452, 236,15594, 906, 850
Hyper-V,  146, 650,4506, 248,16038, 908, 850
Hyper-V,  134, 660,4458, 242,15586, 906, 852
Hyper-V,  148, 644,4484, 248,15562,1332, 848
Hyper-V,  148, 674,4496, 250,15598, 898, 854
Hyper-V,  134, 676,4440, 234,15962, 892, 852
Hyper-V,  148, 608,4496, 254,15608, 914, 854
Hyper-V,  134, 670,4458, 234,15620,1034, 858
Hyper-V,  150, 660,4484, 246,15574, 914, 852
Hyper-V,  134, 674,4454, 234,15618,1010, 846
Hyper-V,  148, 618,4498, 254,15592, 898, 856
Hyper-V,  134, 628,4458, 234,15602,1180, 852
Hyper-V,  148, 594,4938, 246,15556, 908, 854
Hyper-V,  148, 654,4496, 248,15580, 836, 852
Hyper-V,  148, 650,4490, 252,15936,1020, 848
Hyper-V,  148, 654,4924, 246,15580, 922, 852
Hyper-V,  134, 648,4452, 232,15584, 932, 850
Hyper-V,  134, 610,4464, 236,15578, 918, 858
Hyper-V,  134, 622,4450, 232,15662, 834, 854
Hyper-V,  148, 696,4512, 248,15602, 916, 848
Hyper-V,  148, 664,4488, 250,15562, 898, 850
Hyper-V,  134, 682,4466, 238,15644,1320, 846
Hyper-V,  134, 642,4544, 240,15562, 920, 850
Hyper-V,  148, 600,4490, 252,15860, 906, 848
Hyper-V,  148, 702,4490, 246,15596, 894, 850
Hyper-V,  148, 648,4490, 246,15640,1124, 852
Hyper-V,  136, 676,4456, 232,15568,1328, 858
Hyper-V,  148, 664,4488, 246,15960,1064, 852
Hyper-V,  134, 682,4448, 240,15578,1338, 848
Hyper-V,  148, 626,4490, 246,15680, 908, 854
Hyper-V,  134,1036,4448, 232,15566,1354, 856
Hyper-V,  134, 640,4460, 232,15554, 898, 848
Hyper-V,  134, 636,4466, 234,15570,1338, 856
Hyper-V,  148, 748,4492, 246,15662,1332, 848
Hyper-V,  134, 618,4460, 234,15580, 922, 850
Hyper-V,  148, 614,4478, 246,15582, 918, 850
Hyper-V,  148, 698,4506, 250,15558,1058, 854
Hyper-V,  134, 634,4466, 234,15602, 928, 850
Hyper-V,  134, 672,4460, 236,15596,1336, 846
