Platform, cli, lgdt, prot, in 32, id map, long, in 64
KVM Noserial,   27, 169,55976, 196,247110, 663, 166
KVM Noserial,   27, 169,55768, 196,246958, 663, 169
KVM Noserial,   75, 172,55786, 175,247499, 663, 166
KVM Noserial,   38, 158,55655, 196,246726, 666, 166
KVM Noserial,   86, 172,55768, 193,247119, 663, 166
KVM Noserial,   86, 158,55414, 193,246843, 674, 155
KVM Noserial,   27, 158,55616, 196,247508, 663, 169
KVM Noserial,   27, 169,55664, 193,247874, 677, 155
KVM Noserial,   86, 158,55420, 196,247921, 663, 166
KVM Noserial,   86, 158,55773, 182,248521, 663, 166
KVM Noserial,   86, 158,55785, 185,247802, 674, 155
KVM Noserial,   86, 169,55973, 175,247844, 666, 166
KVM Noserial,   38, 158,55830, 175,248097, 674, 155
KVM Noserial,   89, 171,89315, 193,249725, 674, 155
KVM Noserial,   86, 172,56502, 196,249362, 663, 166
KVM Noserial,   75, 172,55438, 199,247942, 663, 166
KVM Noserial,   27, 169,55938, 193,248185, 663, 166
KVM Noserial,   86, 161,55387, 199,248887, 663, 169
KVM Noserial,   29, 159,53854, 188,239709, 647, 156
KVM Noserial,   86, 172,56362, 196,247312, 663, 169
KVM Noserial,   86, 161,55693, 199,248067, 663, 169
KVM Noserial,   81, 164,54358, 185,240624, 650, 156
KVM Noserial,   29, 159,54395, 187,240165, 650, 156
KVM Noserial,   38, 158,55958, 196,249306, 671, 155
KVM Noserial,   81, 162,54019, 188,240407, 650, 156
KVM Noserial,   81, 159,54467, 185,240043, 650, 156
KVM Noserial,   86, 172,55914, 196,247395, 663, 169
KVM Noserial,   27, 172,55373, 196,289658, 663, 166
KVM Noserial,   75, 169,56306, 196,247564, 663, 166
KVM Noserial,   75, 172,55539, 193,246896, 663, 169
KVM Noserial,   38, 158,56002, 182,247416, 674, 155
KVM Noserial,   75, 169,55806, 182,246851, 666, 166
KVM Noserial,   81, 162,53664, 188,239691, 647, 159
KVM Noserial,   75, 169,56023, 196,249300, 663, 169
KVM Noserial,   27, 172,55610, 182,248352, 671, 158
KVM Noserial,   38, 158,55667, 193,247752, 671, 158
KVM Noserial,   75, 172,55976, 175,248355, 666, 166
KVM Noserial,   86, 169,55331, 193,245987, 663, 166
KVM Noserial,   27, 158,55435, 193,248233, 674, 155
KVM Noserial,   27, 158,55871, 185,247671, 660, 169
KVM Noserial,   27, 158,55744, 196,246688, 674, 158
KVM Noserial,   86, 161,55747, 196,247455, 674, 155
KVM Noserial,   81, 162,53961, 188,239706, 647, 159
KVM Noserial,   27, 158,56198, 193,247913, 677, 155
KVM Noserial,   75, 169,57328, 196,249713, 674, 158
KVM Noserial,   27, 169,55839, 196,248816, 674, 155
KVM Noserial,   86, 172,55741, 193,248082, 660, 169
KVM Noserial,   86, 158,55898, 196,248771, 663, 169
KVM Noserial,   86, 169,55611, 196,247211, 674, 155
KVM Noserial,   27, 158,56160, 196,248117, 660, 169
KVM Noserial,   75, 169,55548, 196,247998, 660, 155
KVM Noserial,   86, 161,56056, 193,249050, 663, 166
KVM Noserial,   86, 158,56106, 196,247999, 671, 155
KVM Noserial,   75, 169,56068, 196,247220, 663, 166
KVM Noserial,   86, 169,55697, 193,247942, 674, 155
KVM Noserial,   27, 169,55732, 196,247312, 663, 166
KVM Noserial,   27, 169,55732, 196,246742, 674, 158
KVM Noserial,   38, 158,56317, 193,248037, 666, 166
KVM Noserial,   86, 172,56068, 196,248810, 663, 166
KVM Noserial,   27, 169,55708, 185,247719, 671, 158
KVM Noserial,   86, 169,55667, 193,284972, 663, 169
KVM Noserial,   86, 169,55617, 193,248159, 674, 158
KVM Noserial,   29, 161,54002, 188,240931, 647, 159
KVM Noserial,   27, 169,55881, 196,247654, 674, 158
KVM Noserial,   29, 161,54375, 188,240659, 650, 156
KVM Noserial,   81, 162,54074, 188,240829, 647, 159
KVM Noserial,   29, 164,54329, 190,274705, 666, 166
KVM Noserial,   75, 175,55705, 193,247434, 663, 169
KVM Noserial,   38, 158,56071, 196,247817, 663, 166
KVM Noserial,   86, 172,55866, 196,247791, 677, 155
KVM Noserial,   27, 169,55462, 196,247357, 674, 155
KVM Noserial,   81, 164,53699, 188,240156, 647, 159
KVM Noserial,   29, 159,54106, 188,269482, 663, 166
KVM Noserial,   31, 162,54248, 190,272269, 674, 155
KVM Noserial,   75, 172,55598, 182,247000, 674, 155
KVM Noserial,   27, 169,55744, 196,248198, 671, 158
KVM Noserial,   29, 159,54062, 188,241040, 642, 156
KVM Noserial,   81, 162,54551, 188,241124, 647, 159
KVM Noserial,   81, 159,54063, 188,240719, 650, 156
KVM Noserial,   81, 162,53884, 187,272658, 663, 166
KVM Noserial,   81, 159,53782, 185,239330, 647, 156
KVM Noserial,   81, 162,54340, 185,241748, 650, 156
KVM Noserial,   29, 159,53780, 185,334875, 666, 166
KVM Noserial,   29, 159,54253, 188,308094, 647, 159
KVM Noserial,   29, 159,54071, 188,240101, 647, 159
KVM Noserial,   81, 159,53950, 185,239928, 647, 159
KVM Noserial,   81, 159,54065, 188,276974, 663, 166
KVM Noserial,   86, 169,56012, 193,248239, 663, 166
KVM Noserial,   27, 158,56029, 196,247532, 677, 155
KVM Noserial,   86, 172,55590, 193,248295, 660, 169
KVM Noserial,   38, 158,55830, 193,248227, 663, 166
KVM Noserial,   86, 169,55970, 196,247844, 660, 166
KVM Noserial,   34, 171,79829, 202,286029, 671, 158
KVM Noserial,   34, 171,55408, 195,279704, 674, 155
KVM Noserial,   86, 172,55893, 199,246646, 660, 169
KVM Noserial,   27, 161,54745, 193,247048, 671, 155
KVM Noserial,   86, 161,55892, 199,247820, 663, 166
KVM Noserial,   38, 158,54915, 193,247226, 674, 155
KVM Noserial,   27, 169,55750, 196,247268, 671, 155
KVM Noserial,   29, 159,84232, 193,246647, 674, 155
KVM Noserial,   27, 169,55447, 196,247636, 663, 166
KVM Noserial,   81, 159,53450, 188,308114, 647, 156
KVM Noserial,   86, 161,55928, 196,248037, 663, 169
KVM Noserial,   27, 172,55510, 196,247074, 663, 169
KVM Noserial,   86, 158,55242, 196,247015, 674, 155
KVM Noserial,   75, 169,55521, 193,246953, 671, 158
KVM Noserial,   86, 172,55813, 196,246186, 674, 155
KVM Noserial,   34, 168,87303, 196,247574, 671, 155
KVM Noserial,   27, 169,55459, 199,247258, 660, 169
KVM Noserial,   27, 169,55367, 193,318336, 688, 165
KVM Noserial,   27, 169,56018, 196,247285, 663, 166
KVM Noserial,   86, 158,55931, 196,247526, 663, 166
KVM Noserial,   38, 158,55723, 193,247196, 663, 169
KVM Noserial,   86, 158,55970, 196,246486, 674, 155
KVM Noserial,   27, 169,55566, 196,246314, 674, 158
KVM Noserial,   27, 169,55863, 193,247449, 674, 155
KVM Noserial,   81, 164,54326, 185,240069, 645, 161
KVM Noserial,   27, 169,55923, 196,246920, 674, 158
KVM Noserial,   86, 158,55536, 199,246979, 663, 169
KVM Noserial,   27, 169,55914, 196,247119, 674, 158
KVM Noserial,   27, 172,55610, 182,247315, 677, 155
KVM Noserial,   38, 161,55066, 196,247357, 660, 166
KVM Noserial,   86, 158,55342, 185,247757, 663, 166
KVM Noserial,   86, 161,55824, 193,246537, 674, 155
KVM Noserial,   29, 159,53855, 185,240162, 647, 159
KVM Noserial,   81, 162,53950, 187,239556, 647, 159
KVM Noserial,   81, 162,54181, 185,239463, 650, 156
KVM Noserial,   86, 161,55524, 199,248423, 666, 166
KVM Noserial,   75, 172,55869, 193,247683, 663, 169
KVM Noserial,   27, 172,55628, 196,248465, 666, 166
KVM Noserial,   86, 169,55789, 199,247636, 674, 158
KVM Noserial,   27, 172,55842, 182,285292, 660, 155
KVM Noserial,   27, 172,56017, 185,247511, 674, 155
KVM Noserial,   38, 158,55765, 196,247496, 663, 169
KVM Noserial,   34, 165,57512, 199,281377, 663, 166
KVM Noserial,   86, 161,55931, 193,247710, 663, 166
KVM Noserial,   38, 161,55797, 193,247208, 663, 166
KVM Noserial,   27, 158,55990, 193,246531, 671, 158
