PAE,kmain(),after recv(),after send()
21000,21150,56460,118650
21150,21390,56610,117150
21060,21300,56670,118980
21390,21630,57810,120600
22170,22350,58350,119520
20970,21180,56790,119730
21150,21390,59280,120330
20940,21120,56400,118140
20910,21120,56550,118710
21510,21750,56970,117930
20910,21120,57510,119850
21210,21450,56700,119310
21090,21300,57840,121440
20970,21210,57510,118170
20880,21120,55860,115980
22410,22590,58350,119040
20910,21120,56550,117750
22350,22530,58020,123570
20880,21090,57810,121290
20820,21030,57570,117780
20940,21150,56820,117990
20910,21120,57450,121860
20880,21120,56460,117660
21600,21840,57360,118680
21630,21870,57840,120270
21000,21210,58170,120270
21390,21630,57210,120780
20970,21210,56850,118260
21540,21750,57780,119970
21420,21660,58320,120630
21450,21660,56970,117330
21210,21420,58800,120960
21420,21570,57450,118170
21060,21300,56520,116730
21300,21510,57600,120540
20910,21150,56760,118860
21660,21870,56670,119460
22140,22350,60090,120510
21480,21720,57480,118980
21030,21270,58260,118590
21570,21750,57510,121050
20880,21120,58170,119430
20940,21180,57570,120210
20880,21060,56700,118110
21240,21450,57210,120660
20910,21120,56580,116640
20910,21120,56700,119610
21630,21840,57720,119910
21960,22140,57030,120480
21720,21930,57600,119820
21060,21300,57210,116460
21360,21600,58260,121710
21150,21360,56970,118380
20880,21090,56970,116850
20940,21180,58440,121050
21060,21240,57240,120330
21480,21690,57540,117180
21150,21390,57150,116310
20940,21150,57120,116760
20970,21210,58050,119790
21060,21270,57330,119220
21000,21240,57810,120270
21780,21990,57090,118830
21540,21720,56370,116400
20970,21210,56910,116580
21000,21240,57030,119790
21030,21270,57060,118890
21030,21240,56700,119670
20730,20970,56910,118950
21540,21810,57330,117540
21840,22080,57690,119160
21630,21870,57360,117600
21420,21660,57630,119640
21570,21720,57480,119400
20910,21120,56940,118650
21030,21240,56820,119370
20910,21120,57570,117900
20970,21210,57180,118020
20880,21090,56700,118080
20880,21090,56460,116880
20910,21090,57240,120060
21030,21240,56130,118740
20850,21090,56970,117510
20940,21180,56610,118980
20910,21120,56880,117000
21030,21270,58020,119880
20970,21210,57420,118020
21090,21330,57000,116880
21000,21210,56550,118200
21540,21750,57120,118110
21270,21510,57630,120360
21090,21330,57480,119700
21000,21240,57150,118950
21000,21240,57000,121530
21570,21810,56790,116520
21840,22110,57840,121230
20940,21150,56610,117030
21150,21390,57300,120630
20790,21000,56610,116790
20940,21150,57540,118230
20940,21150,56850,118290
20850,21060,55560,117210
21450,21690,57960,118080
21540,21780,57810,117810
20850,21060,57030,117810
21840,22080,57450,117690
21000,21150,56670,118140
21600,21810,57600,119190
21150,21390,57360,119970
21090,21330,57540,120150
20940,21150,56550,116970
21120,21300,56820,119520
21420,21660,57060,117960
21180,21420,57510,120630
21030,21270,56670,120630
20970,21210,56910,120090
20940,21210,56340,119310
21090,21330,57570,119970
21030,21240,57030,117600
20970,21210,57030,119490
21150,21360,55800,117720
21600,21840,57750,119910
21780,21990,57390,120990
21060,21300,57750,118140
21060,21300,56430,117750
21150,21390,57510,121500
21060,21270,56490,115800
21240,21480,56340,115470
21390,21630,57060,119310
21690,21960,57150,119760
20970,21180,57510,117210
21630,21870,56550,116940
20970,21120,57150,117420
21510,21750,57540,119100
21060,21300,56940,119190
21720,21960,57150,120330
21990,22200,58080,121260
22110,22350,58650,119220
21090,21360,57030,117630
21180,21420,57420,117870
21030,21240,56190,118200
21090,21300,57120,122430
20940,21180,55770,117270
21480,21720,56430,117360
21900,22080,59010,119610
21000,21210,56880,118050
21300,21540,57810,120840
